_id;link;name;source;time
5e9c6face07c0197bc24df5b;https://yandex.ru/news/story/Putin_predlozhil_lgotnuyu_programmu_ipoteki_pod_65--058ee110951442e694f8bdaf243224dc?lr=213&lang=ru&stid=rxa_2ZfVAnERr-12O0jg&persistent_id=94209907&rubric=business&from=index;Путин предложил льготную программу ипотеки под 6,5%;Газета.Ru;2020-04-19 14:31:00
5e9c6face07c0197bc24df5c;https://yandex.ru/news/story/Rossiya_i_Saudovskaya_Araviya_prigotovilis_k_novym_dejstviyam_po_nefti--4bb15124fd61dc3fa41cad372a7181ea?lr=213&lang=ru&stid=24za_aIodZ7DEHp2hIdW&persistent_id=94283578&rubric=business&from=index;Россия и Саудовская Аравия приготовились к новым действиям по нефти;Lenta.ru;2020-04-19 09:34:00
5e9c6face07c0197bc24df5d;https://yandex.ru/news/story/V_Ukhane_otvetili_na_soobshheniya_ob_iskusstvennom_sozdanii_koronavirusa--b601f8819cbc50adb8feb1131087dea8?lr=213&lang=ru&stid=uzSYVH-TH7ScBJRFjXLD&persistent_id=94902367&rubric=world&from=index;В Ухане ответили на сообщения об искусственном создании коронавируса;РБК;2020-04-19 17:12:00
5e9c6face07c0197bc24df5e;https://yandex.ru/news/story/V_SSHA_proshli_massovye_protesty_protiv_karantina--d491af001348080c0a5c4ce6ca1ac72d?lr=213&lang=ru&stid=VZtMYyernDk8jaaEr1wL&persistent_id=94888015&rubric=world&from=index;В США прошли массовые протесты против карантина;Страна Советов on-line;2020-04-19 16:07:00
5e9c6face07c0197bc24df5f;https://yandex.ru/news/story/YUrij_SHatunov_udivilsya_povedeniyu_nemcev_v_period_pandemii_koronavirusa--92398c163d8427eb05be6b4273bde45d?lr=213&lang=ru&stid=oNc7aDf7kysAqJXGEOOY&persistent_id=94872757&rubric=world&from=index;Юрий Шатунов удивился поведению немцев в период пандемии коронавируса;Lenta.ru;2020-04-19 17:42:00
5e9c6face07c0197bc24df60;https://yandex.ru/news/story/Zapadnaya_promyshlennost_nachinaet_begstvo_iz_Kitaya--359af6c8b43f50dee920d7b07666ff31?lr=213&lang=ru&persistent_id=94910132&rubric=world&from=index;Западная промышленность начинает бегство из Китая;Взгляд.ру;2020-04-19 11:08:00
5e9c6face07c0197bc24df61;https://yandex.ru/news/story/Istorik_rasskazal_kak_nashli_ostanki_Gitlera--7880a30c892782fa32a9d4f814950cee?lr=213&lang=ru&stid=ydLRH0VDsfv5Riyz9M8o&persistent_id=94893144&rubric=world&from=index;Историк рассказал, как нашли останки Гитлера;РИА Новости;2020-04-19 17:45:00
5e9c6face07c0197bc24df62;https://yandex.ru/news/story/RPL_nazvala_vozmozhnye_sroki_vozobnovleniya_chempionata_Rossii_po_futbolu--81a303944d1510c8c00c69df9b99fb18?lr=213&lang=ru&stid=jrEgmFOO-VragdD9HBm2&persistent_id=94927668&from=index;РПЛ назвала возможные сроки возобновления чемпионата России по футболу;Газета.Ru;2020-04-19 17:51:00
5e9c6face07c0197bc24df63;https://yandex.ru/news/story/Karrera_sejchas_ya_ne_smotryu_matchi_Spartaka--0dab76f0375e93543b922b5c1774dbde?lr=213&lang=ru&stid=XA0DgC41lz-9ULdQxUtD&persistent_id=94932167&from=index;Каррера: сейчас я не смотрю матчи «Спартака»;Газета.Ru;2020-04-19 17:55:00
5e9c6face07c0197bc24df64;https://yandex.ru/news/story/SHyurrle_pomog_Tedesko_vernutsya_v_Germaniyu_na_chastnom_samolete--8382f8070e521018ddccebffd464b197?lr=213&lang=ru&stid=DZYAWPKPh4vxvpQdA5ID&persistent_id=94927879&from=index;Шюррле помог Тедеско вернуться в Германию на частном самолете;ProstoProSport;2020-04-19 17:51:00
5e9c6face07c0197bc24df65;https://yandex.ru/news/story/Igrok_brestskogo_Dinamo_KHacheridi_posle_matcha_popytalsya_udarit_sudyu--6b2ca61fb1d07782df4580261d83be1b?lr=213&lang=ru&stid=ZxiaZQiD0yRr8RQzh4gU&persistent_id=94907328&from=index;Игрок брестского «Динамо» Хачериди после матча попытался ударить судью;Российская газета;2020-04-19 17:14:00
5e9c6face07c0197bc24df66;https://yandex.ru/news/story/La_Liga_i_Federaciya_futbola_Ispanii_dogovorilis_doigrat_sezon--122df31bb5e9ee84ba35537ad232d266?lr=213&lang=ru&stid=x0k6zOHuPH77qE_3d4p4&persistent_id=94924638&from=index;Ла Лига и Федерация футбола Испании договорились доиграть сезон;Sport24.ru;2020-04-19 17:48:00
5e9c6face07c0197bc24df67;https://yandex.ru/news/story/V_Rostovskoj_oblasti_pacient_s_koronavirusom_sbezhal_iz_bolnicy--f56bb8350497f7c6b45c4e65a11c37e5?lr=213&lang=ru&stid=xGeXT1tpKPUS_biz2IXX&persistent_id=94911930&rubric=incident&from=index;В Ростовской области пациент с коронавирусом сбежал из больницы;Интерфакс;2020-04-19 17:57:00
5e9c6face07c0197bc24df68;https://yandex.ru/news/story/Poyavilos_video_zaderzhaniya_zamglavy_KHakasii--e66c2132ab41b9ea2e97bea5e28922e2?lr=213&lang=ru&stid=aon9Zc0GIWkRwI8K89EW&persistent_id=94811444&rubric=incident&from=index;Появилось видео задержания замглавы Хакасии;Российская газета;2020-04-19 13:46:00
5e9c6face07c0197bc24df69;https://yandex.ru/news/story/Pervye_dva_pacienta_s_koronavirusom_skonchalis_v_Krasnoyarskom_krae--f47ffb202423d699b229d7a3dc40714c?lr=213&lang=ru&stid=F6Jl31PXOiN7EPM7m4Uw&persistent_id=94898989&rubric=incident&from=index;Первые два пациента с коронавирусом скончались в Красноярском крае;Интерфакс;2020-04-19 15:14:00
5e9c6face07c0197bc24df6a;https://yandex.ru/news/story/V_Bashkirii_iz_zakrytoj_na_karantin_bolnicy_sbezhali_sem_medikov--2f38e4788925ba8e648f4760845ccd77?lr=213&lang=ru&stid=pzCRcFidc5joA82xzM3Y&persistent_id=94813227&rubric=incident&from=index;В Башкирии из закрытой на карантин больницы сбежали семь медиков;Российская газета;2020-04-19 15:11:00
5e9c6face07c0197bc24df6b;https://yandex.ru/news/story/Zaderzhan_uchastnik_napadeniya_na_vrachej_skoroj_pomoshhi_v_Kirovo-CHepecke--8a301917704ff0ff74c8966541d1c6bb?lr=213&lang=ru&stid=SZ-fyzuSa0CzR3S8OXcm&persistent_id=94861760&rubric=incident&from=index;Задержан участник нападения на врачей скорой помощи в Кирово-Чепецке;REGNUM;2020-04-19 17:06:00
5e9c6face07c0197bc24df6c;https://yandex.ru/news/story/Prilepin_obvinil_avtorov_seriala_Zulejkha_otkryvaet_glaza_v_rusofobii--22cff0fb6833f70965c1c8ccf23950fa?lr=213&lang=ru&stid=CIQ-nZsAZwclsZInFdG-&persistent_id=94869984&rubric=culture&from=index;Прилепин обвинил авторов сериала «Зулейха открывает глаза» в русофобии;Взгляд.ру;2020-04-19 13:37:00
